	label	type	predicted	packet loss	outliers	std	hop	node	mean
19	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
20	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	4	aaaa::212:740a:a:a0a	1.0
21	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
22	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
23	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
24	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7404:4:404	1.0
25	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
26	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
27	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
28	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7405:5:505	1.0
29	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
30	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
31	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
32	grid9_1bh-3_2019-02-13_16:28_	BH	normal	6.0	2	161.6413262546942	1	aaaa::212:7403:3:303	191.52340425531915
33	grid9_1bh-3_2019-02-13_16:28_	BH	normal	8.0	2	166.71518982056855	1	aaaa::212:7403:3:303	142.6717391304348
34	grid9_1bh-3_2019-02-13_16:28_	BH	normal	2.0	3	64.74047443919643	1	aaaa::212:7403:3:303	94.58163265306122
35	grid9_1bh-3_2019-02-13_16:28_	BH	normal	14.000000000000002	3	70.20834380124202	1	aaaa::212:7403:3:303	96.44186046511628
36	grid9_1bh-3_2019-02-13_22:05_	BH	normal	8.0	3	81.83583555311408	1	aaaa::212:7403:3:303	96.59565217391301
37	grid9_1bh-3_2019-02-13_22:05_	BH	normal	0.0	1	70.31486622503735	1	aaaa::212:7403:3:303	74.086
38	grid9_1bh-3_2019-02-13_22:05_	BH	normal	4.0	3	33.39857303615027	1	aaaa::212:7403:3:303	65.25
39	grid9_1bh-3_2019-02-13_22:05_	BH	normal	8.0	3	18.906194573121134	1	aaaa::212:7403:3:303	59.27391304347827
40	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
41	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
42	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
43	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
44	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	4	aaaa::212:740a:a:a0a	1.0
45	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
46	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
47	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
48	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	4	aaaa::212:7408:8:808	1.0
49	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
50	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
51	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
52	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7402:2:202	1.0
53	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
54	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
55	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
56	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7406:6:606	1.0
57	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
58	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
59	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
60	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7405:5:505	1.0
61	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
62	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
63	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7405:5:505	
64	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	2	aaaa::212:7404:4:404	1.0
65	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
66	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
67	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	2	aaaa::212:7404:4:404	
68	grid9_1bh-3_2019-02-13_22:05_	BH	BH	98.0	0	0.0	3	aaaa::212:7407:7:707	1.0
69	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
70	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
71	grid9_1bh-3_2019-02-13_22:05_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
72	grid9_1bh-5_2019-02-13_15:31_	BH	normal	16.0	3	222.81896319668678	3	aaaa::212:7405:5:505	322.3809523809524
73	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	32.42967273145672	3	aaaa::212:7405:5:505	184.1
74	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	41.18785237996112	3	aaaa::212:7405:5:505	177.64
75	grid9_1bh-5_2019-02-13_15:31_	BH	normal	2.0	2	21.18018744336448	3	aaaa::212:7405:5:505	171.9387755102041
76	grid9_1bh-5_2019-02-13_15:31_	BH	normal	38.0	2	193.11454063962046	4	aaaa::212:7408:8:808	377.3225806451613
77	grid9_1bh-5_2019-02-13_15:31_	BH	normal	2.0	1	135.69347271484713	4	aaaa::212:7408:8:808	374.1020408163265
78	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	88.74489005122538	4	aaaa::212:7408:8:808	274.24
79	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	82.89973289634723	4	aaaa::212:7408:8:808	278.04
80	grid9_1bh-5_2019-02-13_15:31_	BH	normal	30.0	3	200.62041586165702	2	aaaa::212:7406:6:606	275.48571428571427
81	grid9_1bh-5_2019-02-13_15:31_	BH	normal	2.0	1	69.64659165811229	2	aaaa::212:7406:6:606	141.434693877551
82	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	21.741967787330246	2	aaaa::212:7406:6:606	109.07000000000002
83	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	15.943311437459808	2	aaaa::212:7406:6:606	109.902
84	grid9_1bh-5_2019-02-13_15:31_	BH	normal	16.0	2	205.57860042421962	2	aaaa::212:7404:4:404	212.4619047619048
85	grid9_1bh-5_2019-02-13_15:31_	BH	normal	16.0	2	121.5632516995291	2	aaaa::212:7404:4:404	255.17857142857142
86	grid9_1bh-5_2019-02-13_15:31_	BH	normal	42.0	1	126.19577097049424	2	aaaa::212:7404:4:404	235.9241379310345
87	grid9_1bh-5_2019-02-13_15:31_	BH	normal	4.0	3	101.48653161523839	2	aaaa::212:7404:4:404	114.09166666666665
88	grid9_1bh-5_2019-02-13_15:31_	BH	normal	12.0	3	100.39109673890285	1	aaaa::212:7403:3:303	132.05454545454543
89	grid9_1bh-5_2019-02-13_15:31_	BH	normal	16.0	2	16.31002698512534	1	aaaa::212:7403:3:303	50.99047619047618
90	grid9_1bh-5_2019-02-13_15:31_	BH	normal	8.0	3	39.490295022526524	1	aaaa::212:7403:3:303	77.95652173913041
91	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	71.18240785302996	1	aaaa::212:7403:3:303	114.046
92	grid9_1bh-5_2019-02-13_15:31_	BH	normal	30.0	1	517.6482047351717	3	aaaa::212:7407:7:707	487.42857142857144
93	grid9_1bh-5_2019-02-13_15:31_	BH	normal	22.0	2	139.6762016076703	3	aaaa::212:7407:7:707	358.0769230769231
94	grid9_1bh-5_2019-02-13_15:31_	BH	normal	8.0	3	66.29693123959389	3	aaaa::212:7407:7:707	207.69565217391303
95	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	28.424651560336333	3	aaaa::212:7407:7:707	174.28
96	grid9_1bh-5_2019-02-13_15:31_	BH	normal	10.0	2	256.53631587679035	2	aaaa::212:7402:2:202	221.80000000000004
97	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	89.75440524689854	2	aaaa::212:7402:2:202	118.00200000000001
98	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	14.7604641539762	2	aaaa::212:7402:2:202	87.382
99	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	2	25.33839032949402	2	aaaa::212:7402:2:202	90.88400000000001
100	grid9_1bh-5_2019-02-13_15:31_	BH	normal	18.0	2	142.88037807559297	3	aaaa::212:7409:9:909	262.5609756097561
101	grid9_1bh-5_2019-02-13_15:31_	BH	normal	22.0	2	102.11331722481583	3	aaaa::212:7409:9:909	291.7692307692308
102	grid9_1bh-5_2019-02-13_15:31_	BH	BH	46.0	0	102.65427553151541	3	aaaa::212:7409:9:909	298.14814814814815
103	grid9_1bh-5_2019-02-13_15:31_	BH	normal	12.0	4	84.84003103964314	3	aaaa::212:7409:9:909	324.27272727272725
104	grid9_1bh-5_2019-02-13_15:31_	BH	BH	57.99999999999999	1	209.11406092415328	4	aaaa::212:740a:a:a0a	555.2380952380952
105	grid9_1bh-5_2019-02-13_15:31_	BH	normal	4.0	3	32.95061316275341	4	aaaa::212:740a:a:a0a	215.95833333333334
106	grid9_1bh-5_2019-02-13_15:31_	BH	normal	0.0	3	149.4213177698605	4	aaaa::212:740a:a:a0a	282.62
107	grid9_1bh-5_2019-02-13_15:31_	BH	normal	14.000000000000002	2	104.80715825180782	4	aaaa::212:740a:a:a0a	411.4651162790698
108	grid9_1bh-5_2019-02-13_21:44_	BH	BH	64.0	1	473.39349244873495	4	aaaa::212:7408:8:808	555.8888888888889
109	grid9_1bh-5_2019-02-13_21:44_	BH	normal	22.0	2	149.23097513794107	4	aaaa::212:7408:8:808	397.56410256410254
110	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	2	23.8645497484004	4	aaaa::212:7408:8:808	215.44
111	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	2	103.55504500959273	4	aaaa::212:7408:8:808	226.16
112	grid9_1bh-5_2019-02-13_21:44_	BH	normal	36.0	1	213.74228669350327	2	aaaa::212:7402:2:202	300.90625
113	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	2	51.89332005823742	2	aaaa::212:7402:2:202	162.0
114	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	3	49.79500737206164	2	aaaa::212:7402:2:202	140.936
115	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	84.22610310882226	2	aaaa::212:7402:2:202	163.12199999999999
116	grid9_1bh-5_2019-02-13_21:44_	BH	BH	46.0	1	162.5130369523848	2	aaaa::212:7404:4:404	335.22222222222223
117	grid9_1bh-5_2019-02-13_21:44_	BH	normal	20.0	3	158.85851631287574	2	aaaa::212:7404:4:404	264.85
118	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	4	38.89908975379076	2	aaaa::212:7404:4:404	109.96000000000002
119	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	3	62.38891502797069	2	aaaa::212:7404:4:404	115.49599999999998
120	grid9_1bh-5_2019-02-13_21:44_	BH	normal	8.0	2	158.41042516808156	2	aaaa::212:7406:6:606	299.2173913043478
121	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	2	111.18658889911323	2	aaaa::212:7406:6:606	203.54
122	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	2	26.55427889985259	2	aaaa::212:7406:6:606	110.61632653061226
123	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	19.159926717937488	2	aaaa::212:7406:6:606	108.308
124	grid9_1bh-5_2019-02-13_21:44_	BH	BH	50.0	2	425.15435236315443	3	aaaa::212:7407:7:707	528.84
125	grid9_1bh-5_2019-02-13_21:44_	BH	normal	4.0	3	68.2387048040431	3	aaaa::212:7407:7:707	258.8958333333333
126	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	2	18.578295433771363	3	aaaa::212:7407:7:707	153.81632653061226
127	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	4	23.43950964173308	3	aaaa::212:7407:7:707	156.24
128	grid9_1bh-5_2019-02-13_21:44_	BH	BH	57.99999999999999	2	493.1532361099482	4	aaaa::212:740a:a:a0a	744.7142857142857
129	grid9_1bh-5_2019-02-13_21:44_	BH	normal	8.0	2	76.06996842787801	4	aaaa::212:740a:a:a0a	324.9347826086956
130	grid9_1bh-5_2019-02-13_21:44_	BH	normal	4.0	1	64.9507041657841	4	aaaa::212:740a:a:a0a	235.45833333333334
131	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	3	52.26807372203652	4	aaaa::212:740a:a:a0a	248.91836734693877
132	grid9_1bh-5_2019-02-13_21:44_	BH	normal	10.0	2	201.90197666644616	1	aaaa::212:7403:3:303	208.13333333333333
133	grid9_1bh-5_2019-02-13_21:44_	BH	normal	4.0	2	73.465846626629	1	aaaa::212:7403:3:303	113.32916666666665
134	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	23.89176452765467	1	aaaa::212:7403:3:303	60.054
135	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	60.50622285419602	1	aaaa::212:7403:3:303	61.684000000000005
136	grid9_1bh-5_2019-02-13_21:44_	BH	BH	46.0	2	514.6904222629665	3	aaaa::212:7405:5:505	580.0
137	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	2	212.89154180339946	3	aaaa::212:7405:5:505	412.26
138	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	53.2876522052813	3	aaaa::212:7405:5:505	171.24
139	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	3	100.0360564248412	3	aaaa::212:7405:5:505	190.46938775510205
140	grid9_1bh-5_2019-02-13_21:44_	BH	normal	30.0	2	339.8979505774089	3	aaaa::212:7409:9:909	541.0285714285715
141	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	115.2086022865321	3	aaaa::212:7409:9:909	250.28
142	grid9_1bh-5_2019-02-13_21:44_	BH	normal	2.0	2	15.576779334052617	3	aaaa::212:7409:9:909	146.22448979591837
143	grid9_1bh-5_2019-02-13_21:44_	BH	normal	0.0	1	25.458577801469378	3	aaaa::212:7409:9:909	149.94
144	grid9_1bh-6_2019-02-13_12:59_	BH	normal	34.0	1	44.955860507161844	1	aaaa::212:7403:3:303	89.82424242424241
145	grid9_1bh-6_2019-02-13_12:59_	BH	normal	24.0	1	62.12239771046588	1	aaaa::212:7403:3:303	107.25
146	grid9_1bh-6_2019-02-13_12:59_	BH	normal	10.0	1	41.208663034499295	1	aaaa::212:7403:3:303	94.18666666666665
147	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	4	51.07824314176223	1	aaaa::212:7403:3:303	75.80399999999999
148	grid9_1bh-6_2019-02-13_12:59_	BH	normal	8.0	2	131.6834900277697	3	aaaa::212:7405:5:505	194.7608695652174
149	grid9_1bh-6_2019-02-13_12:59_	BH	normal	22.0	4	83.6810102172838	3	aaaa::212:7405:5:505	194.74358974358975
150	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	4	64.32565108691169	3	aaaa::212:7405:5:505	160.92
151	grid9_1bh-6_2019-02-13_12:59_	BH	normal	4.0	2	45.86632113973844	3	aaaa::212:7405:5:505	145.9375
152	grid9_1bh-6_2019-02-13_12:59_	BH	normal	6.0	2	37.3593065926575	2	aaaa::212:7404:4:404	100.12978723404258
153	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	2	31.590322465422663	2	aaaa::212:7404:4:404	83.536
154	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	4	16.366740789834505	2	aaaa::212:7404:4:404	83.1
155	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	1	29.634123739296196	2	aaaa::212:7404:4:404	88.044
156	grid9_1bh-6_2019-02-13_12:59_	BH	normal	12.0	1	99.3076667986386	4	aaaa::212:740a:a:a0a	278.1818181818182
157	grid9_1bh-6_2019-02-13_12:59_	BH	normal	2.0	3	79.28556949793729	4	aaaa::212:740a:a:a0a	224.08163265306123
158	grid9_1bh-6_2019-02-13_12:59_	BH	normal	24.0	2	118.73798209757116	4	aaaa::212:740a:a:a0a	285.6842105263158
159	grid9_1bh-6_2019-02-13_12:59_	BH	normal	4.0	1	86.92366168652185	4	aaaa::212:740a:a:a0a	275.3541666666667
160	grid9_1bh-6_2019-02-13_12:59_	BH	normal	42.0	1	94.08973824155603	2	aaaa::212:7402:2:202	194.32068965517243
161	grid9_1bh-6_2019-02-13_12:59_	BH	normal	16.0	2	29.389608014287116	2	aaaa::212:7402:2:202	100.8857142857143
162	grid9_1bh-6_2019-02-13_12:59_	BH	normal	26.0	3	110.10826688053643	2	aaaa::212:7402:2:202	174.1108108108108
163	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	2	146.7566669764642	2	aaaa::212:7402:2:202	203.52200000000002
164	grid9_1bh-6_2019-02-13_12:59_	BH	BH	44.0	2	80.34693291986714	3	aaaa::212:7407:7:707	240.0
165	grid9_1bh-6_2019-02-13_12:59_	BH	normal	20.0	1	83.56510972949513	3	aaaa::212:7407:7:707	202.475
166	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	2	55.28059836056445	3	aaaa::212:7407:7:707	138.756
167	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	2	21.432384041778597	3	aaaa::212:7407:7:707	119.28399999999999
168	grid9_1bh-6_2019-02-13_12:59_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
169	grid9_1bh-6_2019-02-13_12:59_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
170	grid9_1bh-6_2019-02-13_12:59_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
171	grid9_1bh-6_2019-02-13_12:59_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
172	grid9_1bh-6_2019-02-13_12:59_	BH	normal	36.0	2	132.42695795625747	4	aaaa::212:7408:8:808	348.0625
173	grid9_1bh-6_2019-02-13_12:59_	BH	normal	22.0	2	73.72166534079912	4	aaaa::212:7408:8:808	246.89743589743588
174	grid9_1bh-6_2019-02-13_12:59_	BH	normal	8.0	3	84.70327007473004	4	aaaa::212:7408:8:808	271.9782608695652
175	grid9_1bh-6_2019-02-13_12:59_	BH	normal	2.0	4	95.03710786186782	4	aaaa::212:7408:8:808	279.8979591836735
176	grid9_1bh-6_2019-02-13_12:59_	BH	normal	16.0	2	28.61989107115026	2	aaaa::212:7406:6:606	115.94761904761903
177	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	3	53.047761921667906	2	aaaa::212:7406:6:606	129.31599999999997
178	grid9_1bh-6_2019-02-13_12:59_	BH	normal	0.0	3	42.96488974756491	2	aaaa::212:7406:6:606	150.12199999999999
179	grid9_1bh-6_2019-02-13_12:59_	BH	normal	2.0	4	95.45619031109237	2	aaaa::212:7406:6:606	152.38979591836735
180	grid9_1bh-6_2019-02-13_19:15_	BH	BH	48.0	1	60.05608916799233	4	aaaa::212:7408:8:808	267.5769230769231
181	grid9_1bh-6_2019-02-13_19:15_	BH	normal	14.000000000000002	1	56.254336611472894	4	aaaa::212:7408:8:808	239.2093023255814
182	grid9_1bh-6_2019-02-13_19:15_	BH	normal	16.0	2	67.34623299578394	4	aaaa::212:7408:8:808	228.26190476190476
183	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	4	41.08242088926173	4	aaaa::212:7408:8:808	213.5
184	grid9_1bh-6_2019-02-13_19:15_	BH	normal	2.0	3	55.586398246945514	2	aaaa::212:7404:4:404	103.89387755102041
185	grid9_1bh-6_2019-02-13_19:15_	BH	normal	6.0	4	23.179391705025093	2	aaaa::212:7404:4:404	92.45957446808511
186	grid9_1bh-6_2019-02-13_19:15_	BH	normal	4.0	3	33.99240469763297	2	aaaa::212:7404:4:404	95.80624999999999
187	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	2	49.9033750443427	2	aaaa::212:7404:4:404	98.764
188	grid9_1bh-6_2019-02-13_19:15_	BH	BH	46.0	3	47.151330598488705	1	aaaa::212:7403:3:303	105.35185185185186
189	grid9_1bh-6_2019-02-13_19:15_	BH	normal	4.0	1	50.03179197603593	1	aaaa::212:7403:3:303	90.16458333333334
190	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	3	38.85731092400628	1	aaaa::212:7403:3:303	82.53999999999998
191	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	3	52.58026808448902	1	aaaa::212:7403:3:303	63.51
192	grid9_1bh-6_2019-02-13_19:15_	BH	BH	98.0	0	0.0	4	aaaa::212:740a:a:a0a	1.0
193	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
194	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
195	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	4	aaaa::212:740a:a:a0a	
196	grid9_1bh-6_2019-02-13_19:15_	BH	BH	98.0	0	0.0	3	aaaa::212:7407:7:707	1.0
197	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
198	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
199	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
200	grid9_1bh-6_2019-02-13_19:15_	BH	normal	8.0	3	45.24376808715911	2	aaaa::212:7402:2:202	101.95217391304347
201	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	2	47.226129441664135	2	aaaa::212:7402:2:202	114.162
202	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	2	26.273200748120136	2	aaaa::212:7402:2:202	100.012
203	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	2	47.72876208966922	2	aaaa::212:7402:2:202	101.14200000000001
204	grid9_1bh-6_2019-02-13_19:15_	BH	normal	4.0	2	39.66134276507891	2	aaaa::212:7406:6:606	131.99583333333334
205	grid9_1bh-6_2019-02-13_19:15_	BH	normal	2.0	1	74.66024108345388	2	aaaa::212:7406:6:606	133.39183673469387
206	grid9_1bh-6_2019-02-13_19:15_	BH	normal	2.0	3	49.66393728518378	2	aaaa::212:7406:6:606	131.85714285714286
207	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	1	45.55183707848114	2	aaaa::212:7406:6:606	155.656
208	grid9_1bh-6_2019-02-13_19:15_	BH	normal	4.0	3	61.64966221370422	3	aaaa::212:7405:5:505	167.0
209	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	3	41.297823236602106	3	aaaa::212:7405:5:505	154.4
210	grid9_1bh-6_2019-02-13_19:15_	BH	normal	2.0	4	58.760250227536645	3	aaaa::212:7405:5:505	158.9387755102041
211	grid9_1bh-6_2019-02-13_19:15_	BH	normal	0.0	2	44.11358715213003	3	aaaa::212:7405:5:505	163.46
212	grid9_1bh-6_2019-02-13_19:15_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
213	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
214	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
215	grid9_1bh-6_2019-02-13_19:15_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
216	grid9_1bh-7_2019-02-13_15:08_	BH	normal	6.0	3	135.46793992475142	2	aaaa::212:7404:4:404	151.71702127659572
217	grid9_1bh-7_2019-02-13_15:08_	BH	normal	0.0	2	45.69483733622074	2	aaaa::212:7404:4:404	106.80199999999999
